,word,frequency,start_date,end_date
0,EU,66,2020-01-01,2020-01-09
1,BorisJohnson,17,2020-01-01,2020-01-09
2,Corbyn,8,2020-01-01,2020-01-09
3,SNP,8,2020-01-01,2020-01-09
4,Parliament,5,2020-01-01,2020-01-09
5,WTO,5,2020-01-01,2020-01-09
6,Trump,5,2020-01-01,2020-01-09
7,ISIS,4,2020-01-01,2020-01-09
8,BBC,3,2020-01-01,2020-01-09
9,lUE,3,2020-01-01,2020-01-09
10,UKAid,3,2020-01-01,2020-01-09
11,Sovereign,3,2020-01-01,2020-01-09
12,NHS,3,2020-01-01,2020-01-09
13,FTA,3,2020-01-01,2020-01-09
14,NI,3,2020-01-01,2020-01-09
15,House of Commons,2,2020-01-01,2020-01-09
16,EU27,2,2020-01-01,2020-01-09
17,LiarJohnson,2,2020-01-01,2020-01-09
18,CChange,2,2020-01-01,2020-01-09
19,EASA,2,2020-01-01,2020-01-09
20,Done,2,2020-01-01,2020-01-09
21,Eton,2,2020-01-01,2020-01-09
22,ErasmusPlus,2,2020-01-01,2020-01-09
23,SCOTLAND,2,2020-01-01,2020-01-09
24,NotMyPM,2,2020-01-01,2020-01-09
25,Scotlands,2,2020-01-01,2020-01-09
26,NATO,2,2020-01-01,2020-01-09
27,Royal Commission,2,2020-01-01,2020-01-09
28,BBC News MPs,2,2020-01-01,2020-01-09
29,Mossadegh,2,2020-01-01,2020-01-09
30,Daily Mail,2,2020-01-01,2020-01-09
31,Labours,2,2020-01-01,2020-01-09
32,the Mirrors Pippa Crerar,1,2020-01-01,2020-01-09
33,ABCNews NBCNews,1,2020-01-01,2020-01-09
34,Post Office,1,2020-01-01,2020-01-09
35,WTOBrexit Interesting,1,2020-01-01,2020-01-09
36,Coffee House,1,2020-01-01,2020-01-09
37,the Russian Report,1,2020-01-01,2020-01-09
38,Larrys,1,2020-01-01,2020-01-09
39,Taxes,1,2020-01-01,2020-01-09
40,Those Blue,1,2020-01-01,2020-01-09
41,RoyalFamilu,1,2020-01-01,2020-01-09
42,the Labour Party,1,2020-01-01,2020-01-09
43,NOW,1,2020-01-01,2020-01-09
44,HMGovernment,1,2020-01-01,2020-01-09
45,NuclearWar,1,2020-01-01,2020-01-09
46,VONC,1,2020-01-01,2020-01-09
47,Supporting,1,2020-01-01,2020-01-09
48,the HoC a Party,1,2020-01-01,2020-01-09
49,Brexit Muscles,1,2020-01-01,2020-01-09
50,Times,1,2020-01-01,2020-01-09
51,BJ,1,2020-01-01,2020-01-09
52,KyagulanyiConsults httpstcoFnpXRbJo44 Attn,1,2020-01-01,2020-01-09
53,Poland Please,1,2020-01-01,2020-01-09
54,Solidarity Helen International Law,1,2020-01-01,2020-01-09
55,Brexshit,1,2020-01-01,2020-01-09
56,NATO Two,1,2020-01-01,2020-01-09
57,Mann,1,2020-01-01,2020-01-09
58,the Department for High Speed Rail,1,2020-01-01,2020-01-09
59,Brexitbill WTF,1,2020-01-01,2020-01-09
60,De Pheffel,1,2020-01-01,2020-01-09
61,Remainers,1,2020-01-01,2020-01-09
62,BorisJohnson httpstcooICJfQBET5,1,2020-01-01,2020-01-09
63,Only SM,1,2020-01-01,2020-01-09
64,USA Winning,1,2020-01-01,2020-01-09
65,Pour plus de,1,2020-01-01,2020-01-09
66,Byline Times,1,2020-01-01,2020-01-09
67,Nissan,1,2020-01-01,2020-01-09
68,DUP,1,2020-01-01,2020-01-09
69,Sovereign Equals The Brexiteers,1,2020-01-01,2020-01-09
70,Parliament Johnsons,1,2020-01-01,2020-01-09
71,Group,1,2020-01-01,2020-01-09
72,Twerp,1,2020-01-01,2020-01-09
73,LEADER AMAZING,1,2020-01-01,2020-01-09
74,Boeing,1,2020-01-01,2020-01-09
75,httpstcoM5Yl6tK2ca Tensions,1,2020-01-01,2020-01-09
76,Medicare,1,2020-01-01,2020-01-09
77,Contractors,1,2020-01-01,2020-01-09
78,THIS STINKING UNION,1,2020-01-01,2020-01-09
79,Vicious,1,2020-01-01,2020-01-09
80,FFS,1,2020-01-01,2020-01-09
81,CHURCHHILL LOL,1,2020-01-01,2020-01-09
82,HappyNew2020 DonaldTrump BorisJohnson,1,2020-01-01,2020-01-09
83,BetterTogether,1,2020-01-01,2020-01-09
84,John Crace,1,2020-01-01,2020-01-09
85,Defence,1,2020-01-01,2020-01-09
86,Remainer,1,2020-01-01,2020-01-09
87,ECJ,1,2020-01-01,2020-01-09
88,Baghdad Details,1,2020-01-01,2020-01-09
89,John Crace httpstcorx32iO5fiJ Tensions,1,2020-01-01,2020-01-09
90,the Home Affairs Select Committee Johnson,1,2020-01-01,2020-01-09
91,SteveBell,1,2020-01-01,2020-01-09
92,S30,1,2020-01-01,2020-01-09
93,PeoplePower,1,2020-01-01,2020-01-09
94,the Tory Party,1,2020-01-01,2020-01-09
95,BREXIT BREXSHIT,1,2020-01-01,2020-01-09
96,the Brexit Party,1,2020-01-01,2020-01-09
97,DCMS,1,2020-01-01,2020-01-09
98,NOW PUBLISH,1,2020-01-01,2020-01-09
99,Enemies,1,2020-01-01,2020-01-09
100,CU,1,2020-01-01,2020-01-09
101,Torylies,1,2020-01-01,2020-01-09
102,Venn,1,2020-01-01,2020-01-09
103,Its Theresa Mays,1,2020-01-01,2020-01-09
104,Nicola Sturgeon,1,2020-01-01,2020-01-09
105,Ministry Of Defence,1,2020-01-01,2020-01-09
106,Hungarys Orban Washington Times httpstcopIPbYVprrG,1,2020-01-01,2020-01-09
107,McDonnell,1,2020-01-01,2020-01-09
108,European Commission,1,2020-01-01,2020-01-09
