,Unnamed: 0,word,frequency,start_date,end_date
0,0, ,185,2020-01-01,2020-01-09
1,1,Brexit,40,2020-01-01,2020-01-09
2,2, s,22,2020-01-01,2020-01-09
3,3,,20,2020-01-01,2020-01-09
4,4,,19,2020-01-01,2020-01-09
5,5,Trumps,11,2020-01-01,2020-01-09
6,6,Jeremy Corbyn,8,2020-01-01,2020-01-09
7,7,Steve Bell,6,2020-01-01,2020-01-09
8,8,Trump,6,2020-01-01,2020-01-09
9,9,Caroline Lucas Democracy,5,2020-01-01,2020-01-09
10,10,Donald Trump,4,2020-01-01,2020-01-09
11,11,Blair,3,2020-01-01,2020-01-09
12,12,George Osborne,3,2020-01-01,2020-01-09
13,13,Soleimani,3,2020-01-01,2020-01-09
14,14,Dan,3,2020-01-01,2020-01-09
15,15,Justin Trudeau,3,2020-01-01,2020-01-09
16,16,Ursula von,3,2020-01-01,2020-01-09
17,17,Corbyn,3,2020-01-01,2020-01-09
18,18,Brexit  ,2,2020-01-01,2020-01-09
19,19,Indy,2,2020-01-01,2020-01-09
20,20,John Crace,2,2020-01-01,2020-01-09
21,21,Nicky Morgan,2,2020-01-01,2020-01-09
22,22,Wish,2,2020-01-01,2020-01-09
23,23,Barry Gardiner,2,2020-01-01,2020-01-09
24,24,Uri Geller,2,2020-01-01,2020-01-09
25,25,Euros,2,2020-01-01,2020-01-09
26,26,Mike,2,2020-01-01,2020-01-09
27,27,Jeremy,2,2020-01-01,2020-01-09
28,28,Martin Kettle,2,2020-01-01,2020-01-09
29,29,Deborah,2,2020-01-01,2020-01-09
30,30,Churchill,2,2020-01-01,2020-01-09
31,31,Keir Starmer,2,2020-01-01,2020-01-09
32,32,,2,2020-01-01,2020-01-09
33,33,Londres,2,2020-01-01,2020-01-09
34,34,  HS2,2,2020-01-01,2020-01-09
35,35,BrexitBritain Brexit,2,2020-01-01,2020-01-09
36,36,Harry,2,2020-01-01,2020-01-09
37,37,Grumpy,1,2020-01-01,2020-01-09
38,38,Bruselas,1,2020-01-01,2020-01-09
39,39,GeneralElection2019,1,2020-01-01,2020-01-09
40,40,Rupert Murdoch,1,2020-01-01,2020-01-09
41,41,httpstcoADwTF5Uj5k,1,2020-01-01,2020-01-09
42,42,Bojo,1,2020-01-01,2020-01-09
43,43,Salami,1,2020-01-01,2020-01-09
44,44,Brexit,1,2020-01-01,2020-01-09
45,45,Law,1,2020-01-01,2020-01-09
46,46,Brexit Withdrawal,1,2020-01-01,2020-01-09
47,47,Nah,1,2020-01-01,2020-01-09
48,48,Saddams Mkaburat,1,2020-01-01,2020-01-09
49,49,von,1,2020-01-01,2020-01-09
50,50,Elizabeth,1,2020-01-01,2020-01-09
51,51,Thatcher,1,2020-01-01,2020-01-09
52,52,Andrew Neil,1,2020-01-01,2020-01-09
53,53,Freeedumb,1,2020-01-01,2020-01-09
54,54,Individual Scots,1,2020-01-01,2020-01-09
55,55,Cosmos Blah,1,2020-01-01,2020-01-09
56,56,httpstcoUKc2LQnpOY,1,2020-01-01,2020-01-09
57,57,Jeezo,1,2020-01-01,2020-01-09
58,58,HoC ,1,2020-01-01,2020-01-09
59,59,  httpstcoXPFVqsIjsB,1,2020-01-01,2020-01-09
60,60,Khalistani,1,2020-01-01,2020-01-09
61,61,httpstcoT4QvhvnrP8,1,2020-01-01,2020-01-09
62,62,Tubby,1,2020-01-01,2020-01-09
63,63,David Cameron,1,2020-01-01,2020-01-09
64,64,Kirsty McColl,1,2020-01-01,2020-01-09
65,65, Er,1,2020-01-01,2020-01-09
66,66,Labours,1,2020-01-01,2020-01-09
67,67,Omfg,1,2020-01-01,2020-01-09
68,68,Robert Golf Parliamentary,1,2020-01-01,2020-01-09
69,69,Stanley ,1,2020-01-01,2020-01-09
70,70,httpstco4pBQRi8jWS Sssh Matt,1,2020-01-01,2020-01-09
71,71,Scooby,1,2020-01-01,2020-01-09
72,72,Querem,1,2020-01-01,2020-01-09
73,73,Jimmy Krankie,1,2020-01-01,2020-01-09
74,74,de Trump,1,2020-01-01,2020-01-09
75,75,RussiaReport ,1,2020-01-01,2020-01-09
76,76,Labour Hun,1,2020-01-01,2020-01-09
77,77,Compton,1,2020-01-01,2020-01-09
78,78,httpstcoEOXj55Kj95  httpstcoSCwf0NHlHm,1,2020-01-01,2020-01-09
79,79,Admit,1,2020-01-01,2020-01-09
80,80,Pm ,1,2020-01-01,2020-01-09
81,81,Wonder,1,2020-01-01,2020-01-09
82,82, Another,1,2020-01-01,2020-01-09
83,83,  httpstcoP0LRQN64Yf,1,2020-01-01,2020-01-09
84,84, the,1,2020-01-01,2020-01-09
85,85,Indy Second,1,2020-01-01,2020-01-09
86,86,Rebecca LongBaileys,1,2020-01-01,2020-01-09
87,87,Tumpy,1,2020-01-01,2020-01-09
88,88,Internacionales El Brexit,1,2020-01-01,2020-01-09
89,89,Erasmus Mundus,1,2020-01-01,2020-01-09
90,90,Munira,1,2020-01-01,2020-01-09
91,91,Westminster,1,2020-01-01,2020-01-09
92,92,van de EU,1,2020-01-01,2020-01-09
93,93,httpstco4cbhKwjRkM,1,2020-01-01,2020-01-09
94,94,Bexit,1,2020-01-01,2020-01-09
95,95,Speak,1,2020-01-01,2020-01-09
96,96,Meghan,1,2020-01-01,2020-01-09
97,97,Verlngerung,1,2020-01-01,2020-01-09
98,98,Exclusive  ,1,2020-01-01,2020-01-09
99,99,Megan Dee,1,2020-01-01,2020-01-09
100,100,Hussein  ,1,2020-01-01,2020-01-09
101,101,Rachel,1,2020-01-01,2020-01-09
102,102,Sykes,1,2020-01-01,2020-01-09
103,103,Gospel,1,2020-01-01,2020-01-09
104,104,James OBrien,1,2020-01-01,2020-01-09
105,105,London Evening,1,2020-01-01,2020-01-09
106,106,Kuenssberg U,1,2020-01-01,2020-01-09
107,107,Glenda,1,2020-01-01,2020-01-09
108,108,Mullahs,1,2020-01-01,2020-01-09
109,109,Milkman,1,2020-01-01,2020-01-09
110,110,  Brexit,1,2020-01-01,2020-01-09
111,111,Trump AyatollahKhamenei,1,2020-01-01,2020-01-09
112,112,Nigel,1,2020-01-01,2020-01-09
113,113,Brexit Done,1,2020-01-01,2020-01-09
114,114,Yvette Cooper,1,2020-01-01,2020-01-09
115,115,de Lassalle,1,2020-01-01,2020-01-09
116,116,Walk,1,2020-01-01,2020-01-09
117,117,  Get Brexit,1,2020-01-01,2020-01-09
118,118,Tory Leader,1,2020-01-01,2020-01-09
119,119,Usman Khan,1,2020-01-01,2020-01-09
120,120,Rusty,1,2020-01-01,2020-01-09
121,121,httpstcobxYQ9oDYwE,1,2020-01-01,2020-01-09
122,122,Get Brexit Done,1,2020-01-01,2020-01-09
123,123,Rotterdamse,1,2020-01-01,2020-01-09
124,124,httpstcozqUaLZpEwI,1,2020-01-01,2020-01-09
125,125,Holyrood,1,2020-01-01,2020-01-09
126,126, AustraliaFires Caroline,1,2020-01-01,2020-01-09
127,127,  Dominic Cummings,1,2020-01-01,2020-01-09
128,128,Seehofer,1,2020-01-01,2020-01-09
129,129,Putin,1,2020-01-01,2020-01-09
130,130, Despite,1,2020-01-01,2020-01-09
131,131,Suleimani Think,1,2020-01-01,2020-01-09
132,132,Roger Stone Donald Trump,1,2020-01-01,2020-01-09
133,133,UNDERSTAND,1,2020-01-01,2020-01-09
134,134,Splendid Isolation,1,2020-01-01,2020-01-09
135,135,Michael Gove,1,2020-01-01,2020-01-09
136,136,Tory,1,2020-01-01,2020-01-09
137,137,httpstco52bwWgm4Uv,1,2020-01-01,2020-01-09
138,138,Leeds,1,2020-01-01,2020-01-09
139,139,Brexit Brexit,1,2020-01-01,2020-01-09
140,140,  Move Welsh,1,2020-01-01,2020-01-09
141,141,Roos,1,2020-01-01,2020-01-09
142,142,Profile,1,2020-01-01,2020-01-09
143,143,Salman Pak,1,2020-01-01,2020-01-09
144,144,LovelyJubbly Steve Bell,1,2020-01-01,2020-01-09
145,145,Maths,1,2020-01-01,2020-01-09
146,146,Harry Frankfurt,1,2020-01-01,2020-01-09
147,147,Benny Hill,1,2020-01-01,2020-01-09
148,148,Unleashing Great Britains,1,2020-01-01,2020-01-09
149,149, Hi,1,2020-01-01,2020-01-09
150,150,  Die EUKommissionschefin,1,2020-01-01,2020-01-09
151,151,Zack Goldsmith,1,2020-01-01,2020-01-09
152,152,Hannah,1,2020-01-01,2020-01-09
153,153,Best,1,2020-01-01,2020-01-09
154,154,Julian Assange,1,2020-01-01,2020-01-09
155,155,Guardsman,1,2020-01-01,2020-01-09
156,156,Scots,1,2020-01-01,2020-01-09
157,157,Watch ,1,2020-01-01,2020-01-09
158,158, httpstco9cJ9hwkkWR Stay,1,2020-01-01,2020-01-09
159,159,Reason,1,2020-01-01,2020-01-09
160,160,Cornwallgate,1,2020-01-01,2020-01-09
161,161,Palahvi,1,2020-01-01,2020-01-09
162,162,Factcheck,1,2020-01-01,2020-01-09
163,163,Piers Morgan,1,2020-01-01,2020-01-09
164,164,Brexit Fact,1,2020-01-01,2020-01-09
165,165,BollocksToBrexit httpstcoFAJGboL5oF,1,2020-01-01,2020-01-09
166,166,Shut,1,2020-01-01,2020-01-09
167,167,Bill WAB,1,2020-01-01,2020-01-09
168,168,Tory Brexit,1,2020-01-01,2020-01-09
169,169,Brexit Bill,1,2020-01-01,2020-01-09
170,170,Cheers,1,2020-01-01,2020-01-09
171,171,  Stop,1,2020-01-01,2020-01-09
172,172,Burnt,1,2020-01-01,2020-01-09
173,173,Suzy Ann,1,2020-01-01,2020-01-09
174,174,John Crace Brexit,1,2020-01-01,2020-01-09
175,175,Lay,1,2020-01-01,2020-01-09
176,176,Mike Flynn,1,2020-01-01,2020-01-09
177,177,Hang,1,2020-01-01,2020-01-09
178,178,de   de,1,2020-01-01,2020-01-09
179,179,httpstcozvJTIAjUwa,1,2020-01-01,2020-01-09
180,180,Brexit httpstco0XVCG68CEo,1,2020-01-01,2020-01-09
181,181,SL Kosovo,1,2020-01-01,2020-01-09
182,182,Patel,1,2020-01-01,2020-01-09
183,183,Doo Crikey ,1,2020-01-01,2020-01-09
184,184,Erasmus Done x,1,2020-01-01,2020-01-09
185,185,Nissan   Move Welsh,1,2020-01-01,2020-01-09
186,186,Awww,1,2020-01-01,2020-01-09
187,187,Brexit Ursula,1,2020-01-01,2020-01-09
188,188,Ahh,1,2020-01-01,2020-01-09
