word,full_month,full_frequency,full_rank,neg_full_rank
EU,Jan,176,1,-3
BorisJohnson,Jan,38,2,-4
Huawei,Jan,37,3,-5
Corbyn,Jan,16,4,-6
SNP,Jan,14,5,-7
BBC,Jan,13,6,-8
Trump,Jan,11,7,-9
UKAid,Jan,9,8,-10
Johnsons,Jan,9,9,-11
Parliament,Jan,8,10,-12
WTO,Jan,8,11,-13
NHS,Jan,6,12,-14
NI,Jan,6,13,-15
CCP,Jan,6,14,-16
ECJ,Jan,5,15,-17
Time,Jan,5,16,-18
BrexitDay,Jan,5,17,-19
RussiaReport,Jan,5,18,-20
ISIS,Jan,4,19,-21
FFS,Jan,4,20,-22
GE,Jan,4,21,-23
GOP,Jan,4,22,-24
Scots,Jan,4,23,-25
Cabinet Ministers marks,Jan,4,24,-26
State,Jan,4,25,-27
the European Union,Jan,4,26,-28
lUE,Jan,3,27,-29
Sovereign,Jan,3,28,-30
FTA,Jan,3,29,-31
SCOTLAND,Jan,3,30,-32
GOP,Feb,10,1,-3
BorisJohnson,Feb,5,2,-4
CoronaVirus,Feb,4,3,-5
Covid19,Feb,4,4,-6
Sky News,Feb,4,5,-7
NOW,Feb,3,6,-8
CoronaVirusUpdates,Feb,3,7,-9
NHS,Feb,3,8,-10
WHO,Feb,3,9,-11
Chinas,Feb,2,10,-12
httpstcoO8QZxmWijj,Feb,2,11,-13
CDC,Feb,1,12,-14
the International Health Service NHS,Feb,1,13,-15
Medidas de China,Feb,1,14,-16
BorisJohnson Brexit,Feb,1,15,-17
the UN Security Council,Feb,1,16,-18
Time,Feb,1,17,-19
EU,Feb,1,18,-20
Convenient Store,Feb,1,19,-21
Brexit Fears Jobs Data,Feb,1,20,-22
BrexitCleansing,Feb,1,21,-23
Carries,Feb,1,22,-24
NCYT,Feb,1,23,-25
North Wales Police,Feb,1,24,-26
Rugby,Feb,1,25,-27
Govt,Feb,1,26,-28
ItalyDo,Feb,1,27,-29
House,Feb,1,28,-30
Noteworthy The World Health Organization Iran,Feb,1,29,-31
Nodeal,Feb,1,30,-32
Covid19,Mar,96,1,-3
NHS,Mar,86,2,-4
BorisJohnson,Mar,71,3,-5
EU,Mar,44,4,-6
PPE,Mar,44,5,-7
Coronavirus,Mar,20,6,-8
CoronavirusOutbreak,Mar,16,7,-9
WHO,Mar,15,8,-10
THE AMBULANCE SERVICES FROM ESSENTIAL,Mar,13,9,-11
CoronaLockdown,Mar,11,10,-12
Health,Mar,9,11,-13
Lancet,Mar,9,12,-14
BBC,Mar,7,13,-15
Parliament,Mar,7,14,-16
Govt,Mar,7,15,-17
Guardian,Mar,7,16,-18
Public Health England for COVID19 Sign the Petition,Mar,7,17,-19
Kettering,Mar,5,18,-20
CoronaOutbreak,Mar,5,19,-21
ICU,Mar,5,20,-22
Trump,Mar,5,21,-23
BrexitKolumne Affentheater,Mar,4,22,-24
Boris Johnsons,Mar,4,23,-25
Time,Mar,4,24,-26
Corbyn,Mar,4,25,-27
al Covid19,Mar,4,26,-28
LOWQUALITY,Mar,4,27,-29
CoronaUpdate,Mar,4,28,-30
HCID,Mar,4,29,-31
BorisJohnson Covid19,Mar,3,30,-32
PPE,Apr,159,1,-3
BorisJohnson,Apr,101,2,-4
ICU,Apr,68,3,-5
NHS,Apr,46,4,-6
Covid19,Apr,45,5,-7
UCI,Apr,32,6,-8
EU,Apr,22,7,-9
the Job Urges Caution in,Apr,18,8,-10
Coronavirus,Apr,13,9,-11
BBC,Apr,12,10,-12
Huawei,Apr,9,11,-13
WHO,Apr,9,12,-14
Govt,Apr,9,13,-15
Panorama,Apr,8,14,-16
EM NOME,Apr,7,15,-17
Trump,Apr,7,16,-18
Hypertension,Apr,7,17,-19
ONS,Apr,7,18,-20
RoyaumeUni,Apr,6,19,-21
Times,Apr,6,20,-22
Johnsons,Apr,5,21,-23
Primary Cares,Apr,5,22,-24
CoronavirusPandemic,Apr,5,23,-25
Cabinet,Apr,5,24,-26
Humanismo,Apr,4,25,-27
Intensive Care,Apr,4,26,-28
FDA,Apr,4,27,-29
