word,full_month,full_frequency,full_rank
brexit,Jan,318,1
eu,Jan,226,2
amp,Jan,211,3
dont,Jan,200,4
like,Jan,188,5
peopl,Jan,180,6
think,Jan,176,7
countri,Jan,147,8
know,Jan,146,9
time,Jan,126,10
whi,Jan,124,11
vote,Jan,123,12
want,Jan,123,13
lie,Jan,115,14
trump,Jan,112,15
need,Jan,112,16
year,Jan,111,17
deal,Jan,109,18
right,Jan,107,19
hes,Jan,94,20
onli,Jan,94,21
im,Jan,92,22
doesnt,Jan,91,23
look,Jan,90,24
govern,Jan,88,25
pleas,Jan,88,26
tori,Jan,86,27
mani,Jan,83,28
work,Jan,83,29
come,Jan,83,30
peopl,Feb,43,1
stop,Feb,38,2
advic,Feb,38,3
justtheflu,Feb,36,4
hand,Feb,36,5
outbreak,Feb,33,6
2019,Feb,32,7
best,Feb,32,8
wash,Feb,31,9
govern,Feb,30,10
amp,Feb,28,11
virus,Feb,24,12
minist,Feb,23,13
spread,Feb,22,14
prime,Feb,21,15
health,Feb,21,16
meet,Feb,19,17
fact,Feb,19,18
virius,Feb,19,19
china,Feb,18,20
need,Feb,18,21
british,Feb,18,22
skynew,Feb,18,23
bbcnew,Feb,18,24
vavirus,Feb,18,25
case,Feb,16,26
think,Feb,16,27
dont,Feb,16,28
brexit,Feb,15,29
test,Feb,15,30
test,Mar,455,1
peopl,Mar,416,2
amp,Mar,269,3
nhs,Mar,241,4
govern,Mar,231,5
sign,Mar,229,6
need,Mar,224,7
petit,Mar,218,8
hand,Mar,208,9
de,Mar,194,10
minist,Mar,179,11
like,Mar,172,12
whi,Mar,172,13
virus,Mar,170,14
outbreak,Mar,166,15
countri,Mar,158,16
posit,Mar,148,17
protect,Mar,145,18
prime,Mar,144,19
school,Mar,143,20
work,Mar,139,21
pm,Mar,136,22
death,Mar,136,23
dont,Mar,135,24
spread,Mar,134,25
know,Mar,133,26
health,Mar,131,27
que,Mar,131,28
staff,Mar,124,29
becaus,Mar,122,30
care,Apr,464,1
death,Apr,398,2
de,Apr,367,3
amp,Apr,325,4
govern,Apr,312,5
peopl,Apr,298,6
hospit,Apr,286,7
die,Apr,286,8
home,Apr,261,9
nhs,Apr,237,10
test,Apr,219,11
minist,Apr,218,12
en,Apr,217,13
intens,Apr,195,14
ppe,Apr,195,15
whi,Apr,181,16
pm,Apr,179,17
need,Apr,178,18
work,Apr,170,19
el,Apr,166,20
prime,Apr,166,21
patient,Apr,160,22
la,Apr,159,23
countri,Apr,159,24
like,Apr,155,25
lockdown,Apr,147,26
time,Apr,144,27
que,Apr,132,28
day,Apr,131,29
virus,Apr,129,30
death,May,590,1
peopl,May,488,2
lockdown,May,367,3
amp,May,342,4
die,May,293,5
test,May,258,6
home,May,248,7
govern,May,243,8
care,May,240,9
dont,May,240,10
whi,May,207,11
need,May,194,12
like,May,189,13
onli,May,177,14
public,May,174,15
think,May,170,16
hospit,May,168,17
day,May,164,18
pandem,May,163,19
work,May,161,20
help,May,160,21
becaus,May,157,22
world,May,156,23
countri,May,155,24
cum,May,152,25
patient,May,149,26
live,May,147,27
know,May,145,28
nhs,May,138,29
mani,May,136,30
death,Jun,521,1
peopl,Jun,394,2
amp,Jun,343,3
govern,Jun,267,4
like,Jun,209,5
whi,Jun,201,6
brexit,Jun,199,7
new,Jun,198,8
countri,Jun,192,9
need,Jun,192,10
dont,Jun,186,11
die,Jun,183,12
world,Jun,166,13
think,Jun,166,14
time,Jun,162,15
work,Jun,161,16
respons,Jun,160,17
becaus,Jun,157,18
live,Jun,149,19
mani,Jun,138,20
case,Jun,131,21
lockdown,Jun,127,22
onli,Jun,125,23
ani,Jun,119,24
pandem,Jun,119,25
school,Jun,118,26
know,Jun,116,27
week,Jun,115,28
infect,Jun,115,29
right,Jun,114,30
death,Jul,491,1
peopl,Jul,403,2
care,Jul,363,3
de,Jul,315,4
home,Jul,310,5
amp,Jul,299,6
govern,Jul,264,7
test,Jul,247,8
die,Jul,205,9
nhs,Jul,198,10
wave,Jul,194,11
like,Jul,192,12
hospit,Jul,178,13
whi,Jul,177,14
need,Jul,177,15
second,Jul,174,16
work,Jul,172,17
blame,Jul,168,18
dont,Jul,155,19
know,Jul,151,20
la,Jul,147,21
time,Jul,146,22
countri,Jul,139,23
think,Jul,133,24
que,Jul,132,25
new,Jul,131,26
case,Jul,130,27
patient,Jul,129,28
respons,Jul,128,29
pm,Jul,125,30
peopl,Aug,399,1
amp,Aug,387,2
death,Aug,330,3
govern,Aug,285,4
need,Aug,236,5
test,Aug,215,6
whi,Aug,212,7
dont,Aug,212,8
brexit,Aug,211,9
work,Aug,202,10
like,Aug,197,11
mask,Aug,186,12
school,Aug,183,13
time,Aug,180,14
die,Aug,177,15
know,Aug,152,16
countri,Aug,151,17
becaus,Aug,149,18
lockdown,Aug,144,19
year,Aug,143,20
come,Aug,142,21
mani,Aug,134,22
nhs,Aug,132,23
think,Aug,132,24
case,Aug,129,25
onli,Aug,129,26
ani,Aug,122,27
respons,Aug,122,28
want,Aug,120,29
stop,Aug,119,30
wave,Sep,626,1
second,Sep,603,2
peopl,Sep,534,3
govern,Sep,479,4
test,Sep,408,5
onli,Sep,371,6
mani,Sep,336,7
hit,Sep,316,8
new,Sep,308,9
rate,Sep,287,10
amp,Sep,265,11
worri,Sep,263,12
recoveri,Sep,260,13
news,Sep,257,14
dictat,Sep,255,15
genuin,Sep,254,16
interact,Sep,254,17
dystopian,Sep,246,18
overreach,Sep,246,19
995,Sep,245,20
whi,Sep,241,21
lockdown,Sep,227,22
come,Sep,225,23
countri,Sep,218,24
bbc,Sep,208,25
normal,Sep,205,26
school,Sep,194,27
death,Sep,193,28
need,Sep,191,29
brexit,Sep,178,30
peopl,Oct,604,1
govern,Oct,580,2
mani,Oct,513,3
onli,Oct,512,4
rate,Oct,440,5
death,Oct,419,6
worri,Oct,405,7
new,Oct,405,8
recoveri,Oct,395,9
genuin,Oct,391,10
dictat,Oct,390,11
dystopian,Oct,386,12
interact,Oct,386,13
995,Oct,385,14
overreach,Oct,385,15
amp,Oct,364,16
lockdown,Oct,352,17
normal,Oct,317,18
test,Oct,259,19
think,Oct,254,20
far,Oct,251,21
right,Oct,244,22
countri,Oct,234,23
human,Oct,223,24
great,Oct,209,25
need,Oct,207,26
case,Oct,204,27
britain,Oct,202,28
like,Oct,201,29
whi,Oct,200,30
peopl,Nov,707,1
govern,Nov,478,2
onli,Nov,422,3
mani,Nov,414,4
tell,Nov,401,5
rate,Nov,363,6
aid,Nov,337,7
worri,Nov,334,8
recoveri,Nov,331,9
dictat,Nov,329,10
genuin,Nov,327,11
995,Nov,324,12
dystopian,Nov,322,13
overreach,Nov,322,14
interact,Nov,322,15
amp,Nov,296,16
new,Nov,285,17
lockdown,Nov,279,18
countri,Nov,270,19
think,Nov,258,20
vaccin,Nov,256,21
normal,Nov,253,22
million,Nov,246,23
far,Nov,245,24
im,Nov,235,25
want,Nov,227,26
pleas,Nov,223,27
wont,Nov,209,28
tori,Nov,208,29
brexit,Nov,198,30
vaccin,Dec,537,1
peopl,Dec,521,2
restrict,Dec,462,3
lockdown,Dec,433,4
govern,Dec,391,5
onli,Dec,359,6
mani,Dec,358,7
new,Dec,355,8
rate,Dec,330,9
countri,Dec,294,10
dystopian,Dec,291,11
worri,Dec,278,12
death,Dec,275,13
mps,Dec,265,14
recoveri,Dec,260,15
genuin,Dec,258,16
interact,Dec,256,17
dictat,Dec,256,18
995,Dec,255,19
overreach,Dec,255,20
amp,Dec,255,21
think,Dec,254,22
nation,Dec,250,23
far,Dec,245,24
mp,Dec,236,25
authoritarian,Dec,226,26
hope,Dec,219,27
brexit,Dec,215,28
normal,Dec,211,29
tori,Dec,203,30
