word,frequency,start_date,end_date,rank
eu,83,01/01/2020,09/01/2020,1
brexit,80,01/01/2020,09/01/2020,2
amp,72,01/01/2020,09/01/2020,3
dont,70,01/01/2020,09/01/2020,4
peopl,65,01/01/2020,09/01/2020,5
think,60,01/01/2020,09/01/2020,6
like,59,01/01/2020,09/01/2020,7
know,55,01/01/2020,09/01/2020,8
doesnt,53,01/01/2020,09/01/2020,9
care,52,01/01/2020,09/01/2020,10
time,51,01/01/2020,09/01/2020,11
lie,51,01/01/2020,09/01/2020,12
vote,51,01/01/2020,09/01/2020,13
want,49,01/01/2020,09/01/2020,14
hes,47,01/01/2020,09/01/2020,15
iran,47,01/01/2020,09/01/2020,16
onli,46,01/01/2020,09/01/2020,17
trump,42,01/01/2020,09/01/2020,18
deal,41,01/01/2020,09/01/2020,19
countri,41,01/01/2020,09/01/2020,20
brexit,102,11/01/2020,19/01/2020,1
amp,73,11/01/2020,19/01/2020,2
like,67,11/01/2020,19/01/2020,3
peopl,65,11/01/2020,19/01/2020,4
eu,63,11/01/2020,19/01/2020,5
think,61,11/01/2020,19/01/2020,6
dont,58,11/01/2020,19/01/2020,7
countri,53,11/01/2020,19/01/2020,8
whi,52,11/01/2020,19/01/2020,9
know,52,11/01/2020,19/01/2020,10
time,41,11/01/2020,19/01/2020,11
right,41,11/01/2020,19/01/2020,12
want,40,11/01/2020,19/01/2020,13
vote,39,11/01/2020,19/01/2020,14
im,38,11/01/2020,19/01/2020,15
tori,38,11/01/2020,19/01/2020,16
trump,37,11/01/2020,19/01/2020,17
govern,35,11/01/2020,19/01/2020,18
year,35,11/01/2020,19/01/2020,19
need,34,11/01/2020,19/01/2020,20
brexit,103,21/01/2020,29/01/2020,1
eu,78,21/01/2020,29/01/2020,2
dont,72,21/01/2020,29/01/2020,3
amp,66,21/01/2020,29/01/2020,4
huawei,64,21/01/2020,29/01/2020,5
like,61,21/01/2020,29/01/2020,6
think,55,21/01/2020,29/01/2020,7
countri,53,21/01/2020,29/01/2020,8
peopl,50,21/01/2020,29/01/2020,9
need,46,21/01/2020,29/01/2020,10
whi,43,21/01/2020,29/01/2020,11
come,42,21/01/2020,29/01/2020,12
deal,41,21/01/2020,29/01/2020,13
know,39,21/01/2020,29/01/2020,14
look,38,21/01/2020,29/01/2020,15
year,38,21/01/2020,29/01/2020,16
5g,37,21/01/2020,29/01/2020,17
want,34,21/01/2020,29/01/2020,18
time,34,21/01/2020,29/01/2020,19
lie,33,21/01/2020,29/01/2020,20
china,13,11/02/2020,19/02/2020,1
prevent,7,11/02/2020,19/02/2020,2
xi,7,11/02/2020,19/02/2020,3
measur,6,11/02/2020,19/02/2020,4
la,6,11/02/2020,19/02/2020,5
visibl,6,11/02/2020,19/02/2020,6
un,5,11/02/2020,19/02/2020,7
spread,5,11/02/2020,19/02/2020,8
time,5,11/02/2020,19/02/2020,9
peopl,5,11/02/2020,19/02/2020,10
chines,5,11/02/2020,19/02/2020,11
crucial,5,11/02/2020,19/02/2020,12
medida,4,11/02/2020,19/02/2020,13
el,4,11/02/2020,19/02/2020,14
prime,4,11/02/2020,19/02/2020,15
progress,4,11/02/2020,19/02/2020,16
battl,4,11/02/2020,19/02/2020,17
epidem,4,11/02/2020,19/02/2020,18
de,4,11/02/2020,19/02/2020,19
jinp,4,11/02/2020,19/02/2020,20
