word,full_month,full_frequency,full_rank,neg_full_rank
Charismatic New Zealand PM,Jan,44,1,-3
New Zealands Maui,Jan,30,2,-4
NewZealand,Jan,19,3,-5
UN,Jan,18,4,-6
Aussies,Jan,16,5,-7
New Zealands,Jan,16,6,-8
Christchurch,Jan,15,7,-9
Guardian,Jan,11,8,-10
Govt,Jan,9,9,-11
StevePrice,Jan,9,10,-12
EU,Jan,8,11,-13
Kiwi,Jan,7,12,-14
Price,Jan,7,13,-15
The New Daily,Jan,7,14,-16
PresidentTrump,Jan,6,15,-17
IRD,Jan,6,16,-18
the Green Party,Jan,5,17,-19
GarbageIndianMedia,Jan,5,18,-20
NZers,Jan,4,19,-21
Time,Jan,4,20,-22
ShittyIndia,Jan,4,21,-23
Congress,Jan,4,22,-24
New Zealands   Faces Tough Campaign,Jan,4,23,-25
Islands Business,Jan,3,24,-26
HongKong,Jan,3,25,-27
ClimateChange,Jan,3,26,-28
Bullet,Jan,3,27,-29
Labor Party,Jan,3,28,-30
Labour Party,Jan,3,29,-31
CNN,Jan,3,30,-32
New Zealands,Feb,3,1,-3
Covid19,Feb,2,2,-4
NewZealand,Feb,2,3,-5
ON NOW,Feb,1,4,-6
Covid19,Mar,13,1,-3
the New Zealand Government,Mar,9,2,-4
Lockdown,Mar,8,3,-5
NewZealand,Mar,7,4,-6
New Zealands,Mar,6,5,-7
Aussies,Mar,5,6,-8
BreakingNews,Mar,4,7,-9
Treasury,Mar,3,8,-10
NZers,Mar,3,9,-11
AccessibleCanada,Mar,2,10,-12
ASL,Mar,2,11,-13
the Ministry of Health Watch,Mar,2,12,-14
LSQ Canadians,Mar,2,13,-15
YouTube,Mar,2,14,-16
RNZ,Mar,2,15,-17
New Zealands Covid19,Mar,2,16,-18
the National Party,Mar,1,17,-19
Parliament,Mar,1,18,-20
Cabinet,Mar,1,19,-21
 s Labour Government,Mar,1,20,-22
Coronavirus Government,Mar,1,21,-23
Social Media,Mar,1,22,-24
httpstcobQwnB6sdXz Watch,Mar,1,23,-25
 NewZealand NZvInd,Mar,1,24,-26
the GFC Jeepers Treasury,Mar,1,25,-27
CoronaVirusUpdates httpstcoOM2QeDtUqQ,Mar,1,26,-28
httpstcoWopCpdkxnD Watch Health,Mar,1,27,-29
Congratulations ,Mar,1,28,-30
GFC,Mar,1,29,-31
  Press Conference,Mar,1,30,-32
Guardian,Apr,57,1,-3
New Zealands,Apr,38,2,-4
Covid19,Apr,29,3,-5
Covid19 World,Apr,28,4,-6
BBC News Mundo Coronavirus,Apr,28,5,-7
NewZealand,Apr,14,6,-8
BBC,Apr,11,7,-9
the Easter Bunny,Apr,9,8,-10
Cabinet,Apr,8,9,-11
Easter,Apr,7,10,-12
The Washington Post,Apr,7,11,-13
Parliament,Apr,6,12,-14
Christchurch,Apr,4,13,-15
DirectorGeneral of Health,Apr,4,14,-16
Coronavirus New Zealand,Apr,4,15,-17
BBC News Mundo,Apr,4,16,-18
Morrinsville College,Apr,4,17,-19
Coronavirus  ,Apr,3,18,-20
NieuwZeeland,Apr,3,19,-21
The Labour Party,Apr,3,20,-22
NewZealand ,Apr,3,21,-23
New Zealands PM  ,Apr,3,22,-24
Lockdown,Apr,3,23,-25
Membandingkan Jokowi,Apr,3,24,-26
Tooth Fairy,Apr,2,25,-27
Bauer,Apr,2,26,-28
Change Coaching Communication Conference Development Growth Guidance Influence,Apr,2,27,-29
 s Administration,Apr,2,28,-30
WOW,Apr,2,29,-31
Covid19,May,35,1,-3
New Zealands,May,33,2,-4
Guardian,May,30,3,-5
Covid19 World,May,12,4,-6
NewZealand,May,7,5,-7
NewZealand  Lockdown Coronavirus,May,7,6,-8
National Party,May,7,7,-9
DirectorGeneral of Health,May,6,8,-10
OMG New Zealand PM,May,5,9,-11
CBS News,May,5,10,-12
BBC News Mundo Coronavirus,May,4,11,-13
Covid,May,4,12,-14
 s,May,4,13,-15
 s Business Advisory Council,May,4,14,-16
National Cabinet,May,3,15,-17
Ministry of Health on,May,3,16,-18
NewZealand ,May,3,17,-19
NewshubReid Research,May,3,18,-20
Try   New Zealands,May,3,19,-21
Byline Times,May,3,20,-22
Christchurch,May,3,21,-23
UN,May,3,22,-24
Trump,May,2,23,-25
Protected Group Immunity,May,2,24,-26
Commonwealth,May,2,25,-27
Super Rugby,May,2,26,-28
Parliament,May,2,27,-29
Nicola Sturgeon,May,2,28,-30
Govt,May,2,29,-31
Covid19,Jun,41,1,-3
New Zealands,Jun,32,2,-4
NewZealand,Jun,22,3,-5
BBC News Mundo Coronavirus,Jun,20,4,-6
NuevaZelanda,Jun,9,5,-7
Novotel,Jun,8,6,-8
Cabinet,Jun,6,7,-9
COVIDfree,Jun,6,8,-10
Rings,Jun,6,9,-11
Leaked Cabinet,Jun,5,10,-12
Christchurch,Jun,5,11,-13
 s,Jun,5,12,-14
World News,Jun,4,13,-15
Daily Mail,Jun,4,14,-16
BBC News Mundo,Jun,4,15,-17
  New Zealands,Jun,4,16,-18
BLM,Jun,3,17,-19
BBC News,Jun,3,18,-20
Gender,Jun,2,19,-21
Rio,Jun,2,20,-22
Nova Zelndia,Jun,2,21,-23
PrimeiraMinistra,Jun,2,22,-24
BreakingNews,Jun,2,23,-25
NovaZelandia,Jun,2,24,-26
NewZealand ,Jun,2,25,-27
Muller,Jun,2,26,-28
World,Jun,2,27,-29
DirectorGeneral of Health,Jun,2,28,-30
Lockdown,Jun,2,29,-31
Guardian,Jul,11,1,-3
New Zealands,Jul,7,2,-4
Covid19,Jul,7,3,-5
BBC News Mundo Coronavirus,Jul,5,4,-6
the British Tories,Jul,3,5,-7
Trump,Jul,2,6,-8
State Services Commission,Jul,2,7,-9
httpstcocCDLufGcuM,Jul,2,8,-10
Christchurch,Jul,2,9,-11
Nicola Sturgeon,Jul,2,10,-12
NewZealand,Jul,2,11,-13
OECD,Jul,2,12,-14
Ang,Jul,2,13,-15
Nenhum,Jul,2,14,-16
Covid19 World,Jul,2,15,-17
SHE,Jul,1,16,-18
New Zealands COVIDcrushing,Jul,1,17,-19
the NZ Legislation,Jul,1,18,-20
Socialist Government,Jul,1,19,-21
a Federal Government,Jul,1,20,-22
ASI,Jul,1,21,-23
UNIVERSE,Jul,1,22,-24
Governments,Jul,1,23,-25
Alcoholism,Jul,1,24,-26
ZB,Jul,1,25,-27
Lockdown,Jul,1,26,-28
DirtyPolitics,Jul,1,27,-29
Gretchen Whitmer,Jul,1,28,-30
Air New Zealand,Jul,1,29,-31
Trump,Aug,93,1,-3
Covid19,Aug,59,2,-4
New Zealands,Aug,54,3,-5
CNN,Aug,38,4,-6
NewZealand,Aug,16,5,-7
Guardian,Aug,15,6,-8
NewZealand  Auckland COVID Coronavirus CoronavirusPandemic Covid19,Aug,9,7,-9
New Zealands Covid,Aug,9,8,-10
Labours,Aug,6,9,-11
BBC News Mundo Coronavirus,Aug,6,10,-12
DirectorGeneral of Health,Aug,6,11,-13
de Nueva Zelandia  ,Aug,5,12,-14
Govt,Aug,4,13,-15
COVID,Aug,4,14,-16
Christchurch,Aug,4,15,-17
New Zealands ,Aug,4,16,-18
de NuevaZelanda  ,Aug,4,17,-19
Reuters,Aug,3,18,-20
 Postpones New Zealand Election,Aug,3,19,-21
Combat,Aug,3,20,-22
WOW,Aug,3,21,-23
Auckland as  ,Aug,3,22,-24
Live Daily Covid19,Aug,3,23,-25
ABC News,Aug,2,24,-26
Melbourne Covid19,Aug,2,25,-27
Coronavirus Barbra Streisand,Aug,2,26,-28
  New Zealands,Aug,2,27,-29
National Party,Aug,2,28,-30
Nicola Sturgeon,Aug,2,29,-31
Covid19,Sep,19,1,-3
