word,full_month,full_frequency,full_rank
pm,Jan,346,1
minist,Jan,268,2
elect,Jan,264,3
prime,Jan,259,4
year,Jan,250,5
amp,Jan,240,6
like,Jan,198,7
person,Jan,183,8
pacif,Jan,163,9
leader,Jan,157,10
world,Jan,136,11
septemb,Jan,134,12
countri,Jan,132,13
dont,Jan,128,14
peopl,Jan,125,15
need,Jan,124,16
govern,Jan,124,17
know,Jan,118,18
im,Jan,109,19
think,Jan,106,20
australia,Jan,104,21
good,Jan,103,22
charismat,Jan,97,23
time,Jan,96,24
date,Jan,93,25
morrison,Jan,91,26
right,Jan,90,27
onli,Jan,89,28
announc,Jan,83,29
ani,Jan,81,30
minist,Feb,11,1
prime,Feb,11,2
case,Feb,11,3
confirm,Feb,10,4
nchi,Feb,4,5
wa,Feb,4,6
mgonjwa,Feb,4,7
mweny,Feb,4,8
ya,Feb,4,9
maambukizi,Feb,4,10
test,Feb,4,11
na,Feb,4,12
virusi,Feb,4,13
suspect,Feb,4,14
hiyo,Feb,4,15
posit,Feb,4,16
said,Feb,3,17
break,Feb,3,18
impact,Feb,2,19
negat,Feb,2,20
gdp,Feb,2,21
waziri,Feb,2,22
taarifa,Feb,2,23
2020,Feb,2,24
countri,Feb,2,25
flu,Feb,2,26
friday,Feb,2,27
mmoja,Feb,2,28
nchini,Feb,2,29
imekuwa,Feb,2,30
minist,Mar,202,1
prime,Mar,199,2
lockdown,Mar,156,3
alert,Mar,138,4
pm,Mar,118,5
like,Mar,112,6
act,Mar,89,7
level,Mar,87,8
announc,Mar,86,9
4,Mar,80,10
week,Mar,67,11
live,Mar,64,12
3,Mar,60,13
nation,Mar,51,14
crisi,Mar,48,15
kiwi,Mar,48,16
updat,Mar,47,17
close,Mar,47,18
protect,Mar,46,19
ask,Mar,46,20
countri,Mar,44,21
school,Mar,44,22
servic,Mar,41,23
home,Mar,41,24
onli,Mar,40,25
respons,Mar,36,26
watch,Mar,35,27
day,Mar,35,28
effect,Mar,34,29
stay,Mar,34,30
minist,Apr,1056,1
pay,Apr,816,2
cut,Apr,806,3
solidar,Apr,750,4
hit,Apr,733,5
de,Apr,482,6
la,Apr,321,7
prime,Apr,274,8
zelanda,Apr,236,9
pm,Apr,232,10
lockdown,Apr,228,11
nueva,Apr,222,12
en,Apr,209,13
leadership,Apr,197,14
leader,Apr,152,15
y,Apr,152,16
los,Apr,150,17
el,Apr,149,18
por,Apr,135,19
contagio,Apr,131,20
countri,Apr,126,21
20,Apr,122,22
eliminado,Apr,120,23
dar,Apr,114,24
respons,Apr,110,25
que,Apr,106,26
ministra,Apr,105,27
elimin,Apr,103,28
primera,Apr,103,29
s,Apr,103,30
minist,May,306,1
prime,May,273,2
work,May,243,3
week,May,238,4
fourday,May,229,5
way,May,210,6
rebuild,May,209,7
flag,May,190,8
pm,May,182,9
level,May,165,10
de,May,165,11
case,May,143,12
2,May,132,13
respons,May,118,14
leader,May,109,15
la,May,94,16
like,May,93,17
countri,May,93,18
en,May,73,19
amp,May,72,20
live,May,72,21
crisi,May,69,22
que,May,67,23
s,May,67,24
lockdown,May,65,25
nation,May,65,26
alert,May,65,27
leadership,May,62,28
rule,May,61,29
handl,May,61,30
de,Jun,351,1
case,Jun,323,2
minist,Jun,287,3
prime,Jun,280,4
pm,Jun,202,5
el,Jun,198,6
zelanda,Jun,196,7
nueva,Jun,193,8
la,Jun,183,9
countri,Jun,175,10
en,Jun,174,11
y,Jun,160,12
que,Jun,154,13
free,Jun,149,14
1,Jun,131,15
por,Jun,131,16
level,Jun,127,17
declar,Jun,117,18
logr,Jun,107,19
danc,Jun,105,20
qu,Jun,104,21
cmo,Jun,104,22
border,Jun,103,23
s,Jun,102,24
papel,Jun,100,25
jug,Jun,100,26
dar,Jun,98,27
restrict,Jun,97,28
eliminado,Jun,97,29
alert,Jun,94,30
minist,Jul,153,1
prime,Jul,80,2
pm,Jul,79,3
respons,Jul,72,4
pay,Jul,71,5
countri,Jul,69,6
leader,Jul,68,7
cut,Jul,66,8
hit,Jul,60,9
solidar,Jul,59,10
amp,Jul,56,11
women,Jul,42,12
peopl,Jul,41,13
like,Jul,40,14
world,Jul,39,15
live,Jul,36,16
leadership,Jul,36,17
de,Jul,34,18
govern,Jul,33,19
death,Jul,33,20
s,Jul,31,21
merkel,Jul,30,22
angela,Jul,30,23
trump,Jul,30,24
nation,Jul,27,25
lead,Jul,27,26
best,Jul,26,27
look,Jul,26,28
plan,Jul,26,29
que,Jul,25,30
elect,Aug,521,1
minist,Aug,475,2
prime,Aug,466,3
trump,Aug,439,4
delay,Aug,383,5
de,Aug,334,6
case,Aug,257,7
pm,Aug,248,8
respons,Aug,198,9
outbreak,Aug,171,10
countri,Aug,163,11
s,Aug,156,12
donald,Aug,152,13
el,Aug,151,14
lockdown,Aug,150,15
wrong,Aug,149,16
patent,Aug,145,17
surg,Aug,145,18
auckland,Aug,141,19
en,Aug,139,20
nueva,Aug,128,21
week,Aug,127,22
zelanda,Aug,124,23
la,Aug,120,24
live,Aug,119,25
claim,Aug,114,26
17,Aug,110,27
level,Aug,103,28
las,Aug,102,29
announc,Aug,98,30
level,Sep,103,1
minist,Sep,98,2
prime,Sep,84,3
alert,Sep,68,4
world,Sep,65,5
pm,Sep,53,6
de,Sep,49,7
thinker,Sep,46,8
live,Sep,45,9
respons,Sep,43,10
announc,Sep,43,11
second,Sep,38,12
case,Sep,38,13
restrict,Sep,37,14
decis,Sep,37,15
leader,Sep,36,16
auckland,Sep,36,17
50,Sep,35,18
countri,Sep,32,19
vote,Sep,31,20
1,Sep,31,21
death,Sep,30,22
elect,Sep,30,23
like,Sep,27,24
el,Sep,26,25
2,Sep,26,26
la,Sep,25,27
health,Sep,24,28
en,Sep,24,29
said,Sep,24,30
elect,Oct,430,1
win,Oct,311,2
landslid,Oct,282,3
minist,Oct,276,4
de,Oct,268,5
prime,Oct,266,6
respons,Oct,262,7
la,Oct,233,8
victori,Oct,224,9
reelect,Oct,210,10
pm,Oct,166,11
parti,Oct,163,12
labour,Oct,158,13
countri,Oct,147,14
handl,Oct,139,15
second,Oct,135,16
leader,Oct,133,17
term,Oct,122,18
won,Oct,120,19
amp,Oct,113,20
en,Oct,107,21
pandem,Oct,101,22
que,Oct,98,23
death,Oct,96,24
trump,Oct,92,25
leadership,Oct,87,26
govern,Oct,87,27
case,Oct,86,28
general,Oct,86,29
success,Oct,85,30
pm,Nov,95,1
minist,Nov,87,2
prime,Nov,74,3
de,Nov,74,4
biden,Nov,70,5
la,Nov,62,6
cabinet,Nov,56,7
joe,Nov,53,8
respons,Nov,49,9
countri,Nov,45,10
recoveri,Nov,42,11
focus,Nov,40,12
leader,Nov,40,13
meat,Nov,36,14
unveil,Nov,35,15
handl,Nov,35,16
export,Nov,35,17
global,Nov,33,18
govern,Nov,33,19
gate,Nov,32,20
en,Nov,32,21
leadership,Nov,32,22
s,Nov,32,23
vaccin,Nov,31,24
like,Nov,31,25
support,Nov,30,26
live,Nov,30,27
offer,Nov,30,28
pandem,Nov,29,29
speak,Nov,28,30
vaccin,Dec,106,1
free,Dec,86,2
countri,Dec,78,3
minist,Dec,65,4
prime,Dec,63,5
pm,Dec,55,6
dose,Dec,46,7
amp,Dec,45,8
mani,Dec,45,9
de,Dec,41,10
bought,Dec,38,11
neighbor,Dec,37,12
respons,Dec,36,13
uk,Dec,35,14
s,Dec,33,15
leader,Dec,31,16
control,Dec,31,17
yeni,Dec,29,18
