,Unnamed: 0,word,frequency,start_date,end_date
0,0, ,139,2020-01-01,2020-01-09
1,1, s,8,2020-01-01,2020-01-09
2,2,Scott Morrison,5,2020-01-01,2020-01-09
3,3,Trump,4,2020-01-01,2020-01-09
4,4,Justin Trudeau,4,2020-01-01,2020-01-09
5,5,Charismatic New Zealand PM,3,2020-01-01,2020-01-09
6,6,ClimateChange Sydney NewYork,3,2020-01-01,2020-01-09
7,7,Xmas,2,2020-01-01,2020-01-09
8,8,Ill,2,2020-01-01,2020-01-09
9,9,Ess,2,2020-01-01,2020-01-09
10,10,Leo Varadkar,2,2020-01-01,2020-01-09
11,11,Donald,2,2020-01-01,2020-01-09
12,12,Trumps,2,2020-01-01,2020-01-09
13,13,Winston Peters,2,2020-01-01,2020-01-09
14,14,van NieuwZeeland,1,2020-01-01,2020-01-09
15,15,Tony Blair,1,2020-01-01,2020-01-09
16,16,httpstcoOK3hGYStS6,1,2020-01-01,2020-01-09
17,17,Coward,1,2020-01-01,2020-01-09
18,18,Scott Morrisons,1,2020-01-01,2020-01-09
19,19,BitterRightyLoser SimpleSimonBridges,1,2020-01-01,2020-01-09
20,20,John Only,1,2020-01-01,2020-01-09
21,21,Simon Bridges,1,2020-01-01,2020-01-09
22,22,Lol Charismatic,1,2020-01-01,2020-01-09
23,23,Golden Globes,1,2020-01-01,2020-01-09
24,24,Chapeau,1,2020-01-01,2020-01-09
25,25,Ilhan Omar Alexandria,1,2020-01-01,2020-01-09
26,26,Run,1,2020-01-01,2020-01-09
27,27,Done Madam,1,2020-01-01,2020-01-09
28,28,,1,2020-01-01,2020-01-09
29,29,bin SalmanThe,1,2020-01-01,2020-01-09
30,30,Clark,1,2020-01-01,2020-01-09
31,31,Mia,1,2020-01-01,2020-01-09
32,32, ClimateEmergency,1,2020-01-01,2020-01-09
33,33,httpstcoaHFcht2nCl,1,2020-01-01,2020-01-09
34,34,Nettie,1,2020-01-01,2020-01-09
35,35,Scomomustgo,1,2020-01-01,2020-01-09
36,36,de la Democracia,1,2020-01-01,2020-01-09
37,37,Stephen Colbert,1,2020-01-01,2020-01-09
38,38,Koalas,1,2020-01-01,2020-01-09
39,39, Adern,1,2020-01-01,2020-01-09
40,40,Aussie,1,2020-01-01,2020-01-09
41,41,httpstcoeWeYvKzxY0,1,2020-01-01,2020-01-09
42,42,Fairy Princess,1,2020-01-01,2020-01-09
43,43,Qld,1,2020-01-01,2020-01-09
44,44, Ok,1,2020-01-01,2020-01-09
45,45,Ahole Tell,1,2020-01-01,2020-01-09
46,46,httpstcoBogo9X07nN,1,2020-01-01,2020-01-09
47,47,Conocemos,1,2020-01-01,2020-01-09
48,48,Johnson Kim,1,2020-01-01,2020-01-09
49,49,My gratitude,1,2020-01-01,2020-01-09
50,50,Wish,1,2020-01-01,2020-01-09
51,51,  de,1,2020-01-01,2020-01-09
52,52,Brexit,1,2020-01-01,2020-01-09
53,53,Via NZ,1,2020-01-01,2020-01-09
54,54,Sydney Head,1,2020-01-01,2020-01-09
55,55,Graham,1,2020-01-01,2020-01-09
56,56,John Keys,1,2020-01-01,2020-01-09
57,57,Wrong DaCoach1776,1,2020-01-01,2020-01-09
58,58,Russell Crowe,1,2020-01-01,2020-01-09
59,59,Kann,1,2020-01-01,2020-01-09
60,60,Lol Oz,1,2020-01-01,2020-01-09
61,61,Ya,1,2020-01-01,2020-01-09
62,62,Morrison Govt,1,2020-01-01,2020-01-09
63,63,Mohammed,1,2020-01-01,2020-01-09
64,64,Kate,1,2020-01-01,2020-01-09
65,65,Morrisons,1,2020-01-01,2020-01-09
66,66,Aussie Penny,1,2020-01-01,2020-01-09
67,67,Guten Was,1,2020-01-01,2020-01-09
68,68,Alan Jones,1,2020-01-01,2020-01-09
69,69,Trophy Hunter,1,2020-01-01,2020-01-09
70,70,Pfeifen Trump,1,2020-01-01,2020-01-09
71,71,Utter,1,2020-01-01,2020-01-09
72,72,Boomer,1,2020-01-01,2020-01-09
73,73, as,1,2020-01-01,2020-01-09
74,74,Elizabeth Contest,1,2020-01-01,2020-01-09
75,75,Peters,1,2020-01-01,2020-01-09
76,76,Quentin Bretzke,1,2020-01-01,2020-01-09
77,77,Mao,1,2020-01-01,2020-01-09
78,78,,1,2020-01-01,2020-01-09
79,79,  Join,1,2020-01-01,2020-01-09
80,80,Lisa Nandy,1,2020-01-01,2020-01-09
81,81,Nah s,1,2020-01-01,2020-01-09
82,82,Congrats Marilyn,1,2020-01-01,2020-01-09
83,83,PM  ,1,2020-01-01,2020-01-09
84,84,NoWarWithIran,1,2020-01-01,2020-01-09
85,85,Finlandstyle,1,2020-01-01,2020-01-09
86,86,httpstcoWpFCda0CyQ,1,2020-01-01,2020-01-09
87,87,httpstcovtW3sIQHEX,1,2020-01-01,2020-01-09
88,88,Said,1,2020-01-01,2020-01-09
89,89,Russel Crowe,1,2020-01-01,2020-01-09
90,90,Shades,1,2020-01-01,2020-01-09
91,91,Unsere Bundesregierung,1,2020-01-01,2020-01-09
92,92,Helen,1,2020-01-01,2020-01-09
93,93,,1,2020-01-01,2020-01-09
94,94,Bob Hawke,1,2020-01-01,2020-01-09
95,95,Jasinda,1,2020-01-01,2020-01-09
96,96,Rashida Tlaib,1,2020-01-01,2020-01-09
97,97,Richtige,1,2020-01-01,2020-01-09
98,98,Dud PM,1,2020-01-01,2020-01-09
99,99,Mrs ,1,2020-01-01,2020-01-09
100,100,Alex Most,1,2020-01-01,2020-01-09
101,101,Sinead Boucher,1,2020-01-01,2020-01-09
102,102,Nowej Zelandii,1,2020-01-01,2020-01-09
103,103,Deborah Russell,1,2020-01-01,2020-01-09
104,104,Dame,1,2020-01-01,2020-01-09
105,105,Bronwyn Ill,1,2020-01-01,2020-01-09
106,106,Easily,1,2020-01-01,2020-01-09
107,107,LISTENS,1,2020-01-01,2020-01-09
108,108,Hitler Stalin Castro,1,2020-01-01,2020-01-09
109,109,Thurburg Malala Yousafzai Lorde,1,2020-01-01,2020-01-09
110,110,Germanys Angela Merkel New Zealands,1,2020-01-01,2020-01-09
111,111,Prof Brian Cox,1,2020-01-01,2020-01-09
112,112,Scot Morrison,1,2020-01-01,2020-01-09
113,113,Sam Clench,1,2020-01-01,2020-01-09
114,114, Greta,1,2020-01-01,2020-01-09
115,115,Caleb,1,2020-01-01,2020-01-09
116,116,Bumps,1,2020-01-01,2020-01-09
117,117, httpstco8O5xzIsscV,1,2020-01-01,2020-01-09
118,118,Jailthisman WarCrimes,1,2020-01-01,2020-01-09
119,119,Jennifer Aniston,1,2020-01-01,2020-01-09
120,120,Soif  ,1,2020-01-01,2020-01-09
121,121,Pam Ford,1,2020-01-01,2020-01-09
122,122,Marilyn Really Great Salute,1,2020-01-01,2020-01-09
123,123,Jac,1,2020-01-01,2020-01-09
124,124,Mia Sutherland,1,2020-01-01,2020-01-09
125,125,Se,1,2020-01-01,2020-01-09
126,126,Jacinderella,1,2020-01-01,2020-01-09
127,127,Fangt,1,2020-01-01,2020-01-09
128,128,JACINDA ARDERN Esta,1,2020-01-01,2020-01-09
129,129,Ms ,1,2020-01-01,2020-01-09
130,130,Bugger,1,2020-01-01,2020-01-09
131,131,Lucy,1,2020-01-01,2020-01-09
132,132,John Howard,1,2020-01-01,2020-01-09
133,133,Agreed,1,2020-01-01,2020-01-09
134,134,Putin Netanyahu,1,2020-01-01,2020-01-09
135,135,Fletchers s,1,2020-01-01,2020-01-09
136,136,Angela Rayner,1,2020-01-01,2020-01-09
137,137,Marianne Williamson,1,2020-01-01,2020-01-09
138,138,Mark,1,2020-01-01,2020-01-09
139,139,EndUp,1,2020-01-01,2020-01-09
140,140,Pkeh Second,1,2020-01-01,2020-01-09
141,141,Into,1,2020-01-01,2020-01-09
142,142,Charles,1,2020-01-01,2020-01-09
143,143,Paula,1,2020-01-01,2020-01-09
144,144,Ze willen van Sanna Marin,1,2020-01-01,2020-01-09
145,145,Donald Trump,1,2020-01-01,2020-01-09
146,146,Angela Merkel,1,2020-01-01,2020-01-09
147,147,Greedy People,1,2020-01-01,2020-01-09
148,148,Harsh,1,2020-01-01,2020-01-09
149,149,gt44b Stern,1,2020-01-01,2020-01-09
150,150,no Mrs ,1,2020-01-01,2020-01-09
151,151,LeonardoDiCaprio MichelleObama,1,2020-01-01,2020-01-09
152,152,Morrison Johnson Orban Women,1,2020-01-01,2020-01-09
153,153,Fairy Godmother,1,2020-01-01,2020-01-09
154,154,Boycott,1,2020-01-01,2020-01-09
155,155,Joe Biden,1,2020-01-01,2020-01-09
156,156,Speak,1,2020-01-01,2020-01-09
157,157,Colau Barcelona,1,2020-01-01,2020-01-09
158,158,Mijn,1,2020-01-01,2020-01-09
159,159,Helen Clark,1,2020-01-01,2020-01-09
160,160,httpstco4RVjUfhZjY,1,2020-01-01,2020-01-09
161,161,Robert Goodness,1,2020-01-01,2020-01-09
